big5_agreeableness,2.5604120523381457E-5
facet_altruism,0.07062361763730124
facet_cooperation,0.12264517331292696
facet_modesty,0.04314015207898647
facet_morality,0.004440315480149837
facet_sympathy,0.43941333116271036
facet_trust,0.2967052543815142
big5_conscientiousness,0.5010977917474659
facet_achievement_striving,0.19627025242303187
facet_cautiousness,0.34282801177699146
facet_dutifulness,0.06108275653073464
facet_orderliness,0.3527868161565251
facet_self_discipline,0.045889995871369826
facet_self_efficacy,0.6273662587936784
big5_extraversion,0.04519756588694718
facet_activity_level,0.18551131850965413
facet_assertiveness,0.45188758111054045
facet_cheerfulness,3.960531351054897E-5
facet_excitement_seeking,0.46691736305676057
facet_friendliness,0.004572407350401597
facet_gregariousness,7.92263423046724E-4
big5_neuroticism,0.7219295450476876
facet_anger,0.9565143898528453
facet_anxiety,0.7869533557014543
facet_depression,0.9967808254420274
facet_immoderation,0.3124202042499493
facet_self_consciousness,0.995331348506391
facet_vulnerability,0.7602020604163887
big5_openness,0.9977500677073763
facet_adventurousness,0.47994573848412375
facet_artistic_interests,0.5875870887580061
facet_emotionality,0.047368743027058624
facet_imagination,0.9803958833023239
facet_intellect,0.9987509805235695
facet_liberalism,0.9946790100900158
need_liberty,0.28694558569881634
need_ideal,0.42651234362821033
need_love,0.06560416065251579
need_practicality,0.8082322856659918
need_self_expression,0.010517707761309947
need_stability,0.017866394243117756
need_structure,0.5665287879868344
need_challenge,0.3099311855307836
need_closeness,0.0011387964510026216
need_curiosity,0.7784233538787383
need_excitement,0.08053013968119438
need_harmony,0.03864484845194183
value_conservation,0.006141945739594645
value_hedonism,0.060129948870435546
value_openness_to_change,0.41794118904032823
value_self_enhancement,0.2739162068202108
value_self_transcendence,0.11190771537743549
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
behavior_1500,0.0
behavior_1600,0.0
behavior_1700,0.0
behavior_1800,0.0
behavior_1900,0.0
behavior_2000,0.0
behavior_2100,0.0
behavior_2200,0.0
behavior_2300,0.0
word_count,489
processed_language,en
big5_agreeableness_raw,0.5811907619478156
facet_altruism_raw,0.6534800314979325
facet_cooperation_raw,0.509389476676249
facet_modesty_raw,0.3578622357054444
facet_morality_raw,0.5023483068309905
facet_sympathy_raw,0.6576567207332445
facet_trust_raw,0.5638065940962487
big5_conscientiousness_raw,0.6281793489320859
facet_achievement_striving_raw,0.6431299212738084
facet_cautiousness_raw,0.46692317052198473
facet_dutifulness_raw,0.6210456151962309
facet_orderliness_raw,0.4817805792874733
facet_self_discipline_raw,0.4903348246763233
facet_self_efficacy_raw,0.7645253709983592
big5_extraversion_raw,0.4754442815748168
facet_activity_level_raw,0.4946056807286666
facet_assertiveness_raw,0.638015254603155
facet_cheerfulness_raw,0.4856879174831723
facet_excitement_seeking_raw,0.6000842193190008
facet_friendliness_raw,0.4297535334453093
facet_gregariousness_raw,0.2909509542472216
big5_neuroticism_raw,0.5005452521053837
facet_anger_raw,0.6293153578648707
facet_anxiety_raw,0.6483895652846092
facet_depression_raw,0.6210084564192476
facet_immoderation_raw,0.48179768275612317
facet_self_consciousness_raw,0.6834961407745148
facet_vulnerability_raw,0.512662667333677
big5_openness_raw,0.8393498489842781
facet_adventurousness_raw,0.5030290045900426
facet_artistic_interests_raw,0.6765298449343286
facet_emotionality_raw,0.5800736798649656
facet_imagination_raw,0.8372787889406605
facet_intellect_raw,0.747199177790725
facet_liberalism_raw,0.6448775255774457
need_liberty_raw,0.7154456559385018
need_ideal_raw,0.6822505689248621
need_love_raw,0.6952362466915167
need_practicality_raw,0.7466004166465006
need_self_expression_raw,0.5954445795785847
need_stability_raw,0.6675717341093182
need_structure_raw,0.7006184610299728
need_challenge_raw,0.7095374273984183
need_closeness_raw,0.6579189415458617
need_curiosity_raw,0.836833747770434
need_excitement_raw,0.5738750059815811
need_harmony_raw,0.7482555934809287
value_conservation_raw,0.5526497108149083
value_hedonism_raw,0.6389120791510928
value_openness_to_change_raw,0.7762796865917668
value_self_enhancement_raw,0.679963058143846
value_self_transcendence_raw,0.813145644465056
big5_agreeableness_significant,true
facet_altruism_significant,true
facet_cooperation_significant,true
facet_modesty_significant,true
facet_morality_significant,true
facet_sympathy_significant,true
facet_trust_significant,true
big5_conscientiousness_significant,true
facet_achievement_striving_significant,true
facet_cautiousness_significant,true
facet_dutifulness_significant,true
facet_orderliness_significant,true
facet_self_discipline_significant,true
facet_self_efficacy_significant,true
big5_extraversion_significant,true
facet_activity_level_significant,true
facet_assertiveness_significant,true
facet_cheerfulness_significant,true
facet_excitement_seeking_significant,true
facet_friendliness_significant,true
facet_gregariousness_significant,true
big5_neuroticism_significant,true
facet_anger_significant,true
facet_anxiety_significant,true
facet_depression_significant,true
facet_immoderation_significant,true
facet_self_consciousness_significant,true
facet_vulnerability_significant,true
big5_openness_significant,true
facet_adventurousness_significant,true
facet_artistic_interests_significant,true
facet_emotionality_significant,true
facet_imagination_significant,true
facet_intellect_significant,true
facet_liberalism_significant,true
need_liberty_significant,true
need_ideal_significant,true
need_love_significant,true
need_practicality_significant,true
need_self_expression_significant,true
need_stability_significant,true
need_structure_significant,true
need_challenge_significant,true
need_closeness_significant,true
need_curiosity_significant,true
need_excitement_significant,true
need_harmony_significant,true
value_conservation_significant,true
value_hedonism_significant,true
value_openness_to_change_significant,true
value_self_enhancement_significant,true
value_self_transcendence_significant,true
consumption_preferences_spur_of_moment,0.0
consumption_preferences_credit_card_payment,1.0
consumption_preferences_influence_brand_name,0.0
consumption_preferences_influence_utility,1.0
consumption_preferences_influence_online_ads,0.0
consumption_preferences_influence_social_media,0.0
consumption_preferences_influence_family_members,0.0
consumption_preferences_clothes_quality,1.0
consumption_preferences_clothes_style,0.0
consumption_preferences_clothes_comfort,1.0
consumption_preferences_automobile_ownership_cost,1.0
consumption_preferences_automobile_safety,0.0
consumption_preferences_music_rap,0.5
consumption_preferences_music_country,0.5
consumption_preferences_music_r_b,0.5
consumption_preferences_music_hip_hop,0.0
consumption_preferences_music_live_event,0.0
consumption_preferences_music_playing,1.0
consumption_preferences_music_latin,1.0
consumption_preferences_music_rock,1.0
consumption_preferences_music_classical,1.0
consumption_preferences_gym_membership,0.0
consumption_preferences_outdoor,0.5
consumption_preferences_eat_out,0.0
consumption_preferences_movie_romance,0.0
consumption_preferences_movie_adventure,1.0
consumption_preferences_movie_horror,0.0
consumption_preferences_movie_musical,0.0
consumption_preferences_movie_historical,1.0
consumption_preferences_movie_science_fiction,1.0
consumption_preferences_movie_war,1.0
consumption_preferences_movie_drama,0.0
consumption_preferences_movie_action,1.0
consumption_preferences_movie_documentary,1.0
consumption_preferences_read_frequency,1.0
consumption_preferences_books_entertainment_magazines,0.0
consumption_preferences_books_non_fiction,1.0
consumption_preferences_books_financial_investing,1.0
consumption_preferences_books_autobiographies,1.0
consumption_preferences_volunteer,0.0
consumption_preferences_concerned_environment,1.0
"consumption_preferences_start_business","0.5"
