big5_agreeableness,0.0391948865500818
facet_altruism,0.447285129393832
facet_cooperation,0.7380289111150855
facet_modesty,0.07332628452038042
facet_morality,0.16159917576662602
facet_sympathy,0.6797819124711357
facet_trust,0.9995314199533548
big5_conscientiousness,0.43289308654371705
facet_achievement_striving,0.8983640300291937
facet_cautiousness,0.8302201209079779
facet_dutifulness,0.4288984081563103
facet_orderliness,0.10214429476560277
facet_self_discipline,0.652070728605375
facet_self_efficacy,0.7816285215530003
big5_extraversion,0.7442021108294297
facet_activity_level,0.985113762200817
facet_assertiveness,0.986218802906121
facet_cheerfulness,0.2955869966782324
facet_excitement_seeking,0.47277076450047806
facet_friendliness,0.23928223988744585
facet_gregariousness,0.391048739836563
big5_neuroticism,0.6966115751046151
facet_anger,0.07268373826808827
facet_anxiety,0.18741303414721727
facet_depression,0.7137797921565258
facet_immoderation,0.040965575110090524
facet_self_consciousness,0.32329641462923775
facet_vulnerability,0.17361451827594138
big5_openness,0.9521963203907531
facet_adventurousness,0.9791787033079161
facet_artistic_interests,0.31715223695846084
facet_emotionality,0.03725050359783949
facet_imagination,0.4526453905699724
facet_intellect,0.9598505077824577
facet_liberalism,0.9951811786027153
need_liberty,0.2942362799704102
need_ideal,0.12094173840066408
need_love,0.42313540460295
need_practicality,0.3939745015588497
need_self_expression,0.08097027844406118
need_stability,0.5051727144172472
need_structure,0.7521848014659227
need_challenge,0.6098320112711128
need_closeness,0.28604432882099085
need_curiosity,0.45187977546486535
need_excitement,0.29137191771752
need_harmony,0.047780312542331504
value_conservation,0.031005128215031652
value_hedonism,0.028734957634096836
value_openness_to_change,0.7296079639724835
value_self_enhancement,0.16770239620380056
value_self_transcendence,0.2535402205982218
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
behavior_1500,0.0
behavior_1600,0.0
behavior_1700,0.0
behavior_1800,0.0
behavior_1900,0.0
behavior_2000,0.0
behavior_2100,0.0
behavior_2200,0.0
behavior_2300,0.0
word_count,174
processed_language,en
big5_agreeableness_raw,0.6722261804366547
facet_altruism_raw,0.7004404950249954
facet_cooperation_raw,0.6177837439528276
facet_modesty_raw,0.3717871900575861
facet_morality_raw,0.5791974387521528
facet_sympathy_raw,0.6813137190690397
facet_trust_raw,0.722112750951362
big5_conscientiousness_raw,0.620168079847195
facet_achievement_striving_raw,0.7557588886380472
facet_cautiousness_raw,0.5527606760851722
facet_dutifulness_raw,0.654512356252491
facet_orderliness_raw,0.452574801756897
facet_self_discipline_raw,0.5892753020351934
facet_self_efficacy_raw,0.7804502097140896
big5_extraversion_raw,0.5802950485467498
facet_activity_level_raw,0.651574559175735
facet_assertiveness_raw,0.754210269856203
facet_cheerfulness_raw,0.6001125198779916
facet_excitement_seeking_raw,0.6007081153136138
facet_friendliness_raw,0.5249477425726492
facet_gregariousness_raw,0.43912400728883555
big5_neuroticism_raw,0.4963791842432408
facet_anger_raw,0.45608816806657315
facet_anxiety_raw,0.533589046237823
facet_depression_raw,0.4841907437824279
facet_immoderation_raw,0.43373202902115426
facet_self_consciousness_raw,0.5225885183479686
facet_vulnerability_raw,0.4077346663908074
big5_openness_raw,0.8018588247985784
facet_adventurousness_raw,0.5772684701880941
facet_artistic_interests_raw,0.6412443678651185
facet_emotionality_raw,0.5754829403181021
facet_imagination_raw,0.7289489095940858
facet_intellect_raw,0.6882007765965826
facet_liberalism_raw,0.6466064042270792
need_liberty_raw,0.7162428173735496
need_ideal_raw,0.635439888544096
need_love_raw,0.7592284923909169
need_practicality_raw,0.7219619578550293
need_self_expression_raw,0.6267938483778928
need_stability_raw,0.7348619737267764
need_structure_raw,0.7145418524462285
need_challenge_raw,0.7442917285646389
need_closeness_raw,0.7682835841552903
need_curiosity_raw,0.8134679116807024
need_excitement_raw,0.6415645223084778
need_harmony_raw,0.7517039617538782
value_conservation_raw,0.5813762963978888
value_hedonism_raw,0.6168000478766297
value_openness_to_change_raw,0.8078532946871897
value_self_enhancement_raw,0.6640692903672583
value_self_transcendence_raw,0.8221536472638233
big5_agreeableness_significant,true
facet_altruism_significant,true
facet_cooperation_significant,true
facet_modesty_significant,true
facet_morality_significant,true
facet_sympathy_significant,true
facet_trust_significant,true
big5_conscientiousness_significant,true
facet_achievement_striving_significant,true
facet_cautiousness_significant,true
facet_dutifulness_significant,true
facet_orderliness_significant,true
facet_self_discipline_significant,true
facet_self_efficacy_significant,true
big5_extraversion_significant,true
facet_activity_level_significant,true
facet_assertiveness_significant,true
facet_cheerfulness_significant,true
facet_excitement_seeking_significant,true
facet_friendliness_significant,true
facet_gregariousness_significant,true
big5_neuroticism_significant,true
facet_anger_significant,true
facet_anxiety_significant,true
facet_depression_significant,true
facet_immoderation_significant,true
facet_self_consciousness_significant,true
facet_vulnerability_significant,true
big5_openness_significant,true
facet_adventurousness_significant,true
facet_artistic_interests_significant,true
facet_emotionality_significant,true
facet_imagination_significant,true
facet_intellect_significant,true
facet_liberalism_significant,true
need_liberty_significant,true
need_ideal_significant,true
need_love_significant,true
need_practicality_significant,true
need_self_expression_significant,true
need_stability_significant,true
need_structure_significant,true
need_challenge_significant,true
need_closeness_significant,true
need_curiosity_significant,true
need_excitement_significant,true
need_harmony_significant,true
value_conservation_significant,true
value_hedonism_significant,true
value_openness_to_change_significant,true
value_self_enhancement_significant,true
value_self_transcendence_significant,true
consumption_preferences_spur_of_moment,0.0
consumption_preferences_credit_card_payment,1.0
consumption_preferences_influence_brand_name,1.0
consumption_preferences_influence_utility,0.0
consumption_preferences_influence_online_ads,0.0
consumption_preferences_influence_social_media,0.0
consumption_preferences_influence_family_members,0.0
consumption_preferences_clothes_quality,1.0
consumption_preferences_clothes_style,1.0
consumption_preferences_clothes_comfort,0.0
consumption_preferences_automobile_ownership_cost,1.0
consumption_preferences_automobile_safety,0.0
consumption_preferences_music_rap,1.0
consumption_preferences_music_country,0.5
consumption_preferences_music_r_b,0.5
consumption_preferences_music_hip_hop,1.0
consumption_preferences_music_live_event,1.0
consumption_preferences_music_playing,0.0
consumption_preferences_music_latin,1.0
consumption_preferences_music_rock,1.0
consumption_preferences_music_classical,0.5
consumption_preferences_gym_membership,1.0
consumption_preferences_outdoor,1.0
consumption_preferences_eat_out,0.0
consumption_preferences_movie_romance,0.0
consumption_preferences_movie_adventure,1.0
consumption_preferences_movie_horror,0.0
consumption_preferences_movie_musical,0.0
consumption_preferences_movie_historical,1.0
consumption_preferences_movie_science_fiction,1.0
consumption_preferences_movie_war,1.0
consumption_preferences_movie_drama,0.0
consumption_preferences_movie_action,1.0
consumption_preferences_movie_documentary,1.0
consumption_preferences_read_frequency,1.0
consumption_preferences_books_entertainment_magazines,0.0
consumption_preferences_books_non_fiction,1.0
consumption_preferences_books_financial_investing,1.0
consumption_preferences_books_autobiographies,1.0
consumption_preferences_volunteer,1.0
consumption_preferences_concerned_environment,1.0
"consumption_preferences_start_business","0.5"
